"WBS_ID","기능명","시작일","종료일","소요(주)","Sprint","Label","Priority"
"001","프로젝트 레포지토리 초기 설정 (GitLab, Branch 전략)","2026-06-08","2026-06-21","2","Sprint 0","infra","P0"
"002","GitLab Auto-DevOps 파이프라인 `.gitlab-ci.yml` 구축","2026-06-08","2026-06-21","2","Sprint 0","infra","P0"
"003","Docker Compose 환경 구성 (PostgreSQL, Redis, RabbitMQ)","2026-06-08","2026-06-21","2","Sprint 0","infra","P0"
"004","PostgreSQL 스키마 Flyway Migration v001 생성","2026-06-08","2026-06-21","2","Sprint 0","database","P0"
"005","FE 프로토타입 Git Push → Auto-DevOps 연동 검증","2026-06-08","2026-06-21","2","Sprint 0","frontend","P1"
"101","Spring Security + JWT 토큰 발급/검증 설정","2026-06-22","2026-07-05","2","Sprint 1","auth","P0"
"102","회원가입 API (`POST /api/auth/register`)","2026-06-22","2026-07-05","2","Sprint 1","auth","P0"
"103","로그인 API (`POST /api/auth/login`), JWT Access/Refresh Token","2026-06-22","2026-07-05","2","Sprint 1","auth","P0"
"104","토큰 갱신 API (`POST /api/auth/refresh`)","2026-06-22","2026-07-05","2","Sprint 1","auth","P0"
"105","/logout API, Refresh Token Redis 저장","2026-06-22","2026-07-05","2","Sprint 1","auth","P1"
"106","RBAC Authorization Filter (@PreAuthorize)","2026-06-22","2026-07-05","2","Sprint 1","auth","P0"
"107","FE 로그인/회원가입 페이지 백엔드 연동","2026-06-22","2026-07-05","2","Sprint 1","frontend","P0"
"201","Company CRUD API (`/api/companies`)","2026-07-06","2026-07-19","2","Sprint 2","admin","P0"
"202","User CRUD API (`/api/users`) — Role별 company 스코프","2026-07-06","2026-07-19","2","Sprint 2","admin","P0"
"203","User 상태 관리 (ACTIVE / INACTIVE / DISABLED)","2026-07-06","2026-07-19","2","Sprint 2","admin","P0"
"204","ADMIN vs COMPANY_ADMIN 권한 분리","2026-07-06","2026-07-19","2","Sprint 2","admin","P0"
"205","FE CompaniesView 백엔드 연동","2026-07-06","2026-07-19","2","Sprint 2","frontend","P0"
"206","FE UsersView 백엔드 연동","2026-07-06","2026-07-19","2","Sprint 2","frontend","P0"
"301","Project CRUD API (`/api/projects`) — Soft Delete","2026-07-20","2026-08-02","2","Sprint 3","project","P0"
"302","Project Manager 배정 API (`POST /api/projects/{id}/managers`)","2026-07-20","2026-08-02","2","Sprint 3","project","P0"
"303","Project Support Manager 배정 API","2026-07-20","2026-08-02","2","Sprint 3","project","P0"
"304","Project 상태 관리 (ACTIVE / COMPLETED / ON_HOLD / CANCELLED)","2026-07-20","2026-08-02","2","Sprint 3","project","P1"
"305","Project 상세 조회 API (관리자/멤버 정보 포함)","2026-07-20","2026-08-02","2","Sprint 3","project","P1"
"306","FE ProjectsView 백엔드 연동","2026-07-20","2026-08-02","2","Sprint 3","frontend","P0"
"401","Ticket CRUD API (`/api/tickets`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"402","Ticket 상태 전이 엔진 (REGISTERED → RECEIVED → PROCESSING → COMPLETED)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"403","Ticket 목록 API — 상태/유형/프로젝트/assignee 필터","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"404","Ticket 상세 API (상태리본, Action 버튼, 이력 포함)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"405","Ticket Comment API (`/api/tickets/{id}/comments`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
"406","Ticket 이력 Audit Trail API (`/api/tickets/{id}/history`)","2026-08-03","2026-08-23","3","Sprint 4","ticket","P0"
