Task ID,Parent ID,Sprint,Week,Task Name,Assignee,Role,Start Date,End Date,Duration (days),Dependencies
001,,Sprint 0,Day 1,"Git 레포지토리 생성, Git Flow 브랜치 전략 설정",T1,Infra,2026-06-08,2026-06-09,2,
002,,Sprint 0,Day 1,Frontend: Vite + React + TypeScript 프로젝트 초기화,T2,FE,2026-06-08,2026-06-09,2,
003,,Sprint 0,Day 1,Backend: Spring Boot 프로젝트 생성 (Gradle 기반),T4,BE,2026-06-08,2026-06-09,2,
004,,Sprint 0,Day 1,"Docker Compose 구성 (PostgreSQL, Redis, RabbitMQ)",T5,Infra,2026-06-08,2026-06-09,2,
005,,Sprint 0,Day 1,"Flyway 마이그레이션 초기화, 첫 migration script 작성",T5,Infra,2026-06-08,2026-06-09,2,
006,,Sprint 0,Day 1,Dockerfile 작성 (Multi-stage build),T1,Infra,2026-06-08,2026-06-09,2,
007,,Sprint 0,Day 1,Docker Compose 환경변수(.env) 분리 (dev/stage/prod),T5,Infra,2026-06-08,2026-06-09,2,
008,,Sprint 0,Day 1,Docker Healthcheck 설정,T5,Infra,2026-06-08,2026-06-09,2,
009,,Sprint 0,Day 3,"GitLab CI 파이프라인 구성 (빌드, 테스트, lint)",T6,CI/CD,2026-06-10,2026-06-12,3,
010,,Sprint 0,Day 3,ESLint + Prettier + React hooks 플러그인 설정,T2,FE,2026-06-10,2026-06-12,3,
011,,Sprint 0,Day 3,SpotBugs + Checkstyle Gradle 플러그인 설정,T4,BE,2026-06-10,2026-06-12,3,
012,,Sprint 0,Day 3,TailwindCSS + daisyUI 프론트엔드 통합,T3,FE,2026-06-10,2026-06-12,3,
013,,Sprint 0,Day 3,MyBatis + PostgreSQL 연결 설정,T5,BE,2026-06-10,2026-06-12,3,
014,,Sprint 0,Day 3,MyBatis Generator 설정 — 18개 테이블 생성 목표,T5,Infra,2026-06-10,2026-06-12,3,
015,,Sprint 0,Day 3,"MyBatis 설정: resultMap, SQLSessionFactory, 다중 데이터소스",T5,BE,2026-06-10,2026-06-12,3,
016,,Sprint 0,Day 3,"Spring Security 기본 설정 (PasswordEncoder, CSRF disable, Cors)",T4,BE,2026-06-10,2026-06-12,3,
017,,Sprint 0,Day 3,RabbitMQ explicit queue/exchange/routing-key DDL 설정,T5,Infra,2026-06-10,2026-06-12,3,
018,,Sprint 0,Day 3,Prometheus + Grafana Spring Boot Actuator 의존성 추가,T6,Infra,2026-06-10,2026-06-12,3,
019,,Sprint 0,Day 6,"V1_DDL: companies, users, projects 테이블 DDL 생성",T5,DB,2026-06-13,2026-06-17,5,
020,,Sprint 0,Day 6,"V2_DDL: tickets, processing_plans, ticket_comments, ticket_files",T5,DB,2026-06-13,2026-06-17,5,
021,,Sprint 0,Day 6,"V3_DDL: project_managers, project_support_managers, project_assignments",T5,DB,2026-06-13,2026-06-17,5,
022,,Sprint 0,Day 6,"V4_DDL: cards 관련 테이블 (management_cards, card_assignments)",T5,DB,2026-06-13,2026-06-17,5,
023,,Sprint 0,Day 6,"V5_DDL: 파티션 테이블 - chat_messages_part_master, ticket_histories_part_master",T5,DB,2026-06-13,2026-06-17,5,
024,,Sprint 0,Day 6,"V6_DDL: notification 테이블, notification_logs_part_master, audit_logs",T5,DB,2026-06-13,2026-06-17,5,
025,,Sprint 0,Day 6,"V7_DDL: lookup 테이블 (status_mappings, priority_mappings, system_settings)",T5,DB,2026-06-13,2026-06-17,5,
026,,Sprint 0,Day 6,"V8_DDL: 트리거/함수 생성 (update_updated_at, audit_log_trigger)",T5,DB,2026-06-13,2026-06-17,5,
027,,Sprint 0,Day 6,Flyway migration 전체 검증,T5+T6,Validation,2026-06-13,2026-06-17,5,
028,,Sprint 0,Day 11,Docker Compose에 MinIO 추가 (S3 호환 스토리지),T5,Infra,2026-06-18,2026-06-20,3,
029,,Sprint 0,Day 11,MinIO 초기 버킷 자동 생성 스크립트,T5,Infra,2026-06-18,2026-06-20,3,
030,,Sprint 0,Day 11,Backend S3 설정 (application.yml),T5,BE,2026-06-18,2026-06-20,3,
