"WBS_ID","Sprint","Sprint 요약","기능명","Label","Priority","시작일","종료일"
"001","Sprint 0","환경 구축 (2주)","프로젝트 레포지토리 초기 설정 (GitLab, Branch 전략)","infra","P0","2026-06-08","2026-06-21"
"002","Sprint 0","환경 구축 (2주)","GitLab Auto-DevOps 파이프라인 `.gitlab-ci.yml` 구축","infra","P0","2026-06-08","2026-06-21"
"003","Sprint 0","환경 구축 (2주)","Docker Compose 환경 구성 (PostgreSQL, Redis, RabbitMQ)","infra","P0","2026-06-08","2026-06-21"
"004","Sprint 0","환경 구축 (2주)","PostgreSQL 스키마 Flyway Migration v001 생성","database","P0","2026-06-08","2026-06-21"
"005","Sprint 0","환경 구축 (2주)","FE 프로토타입 Git Push → Auto-DevOps 연동 검증","frontend","P1","2026-06-08","2026-06-21"
"101","Sprint 1","Authentication & RBAC (2주)","Spring Security + JWT 토큰 발급/검증 설정","auth","P0","2026-06-22","2026-07-05"
"102","Sprint 1","Authentication & RBAC (2주)","회원가입 API (`POST /api/auth/register`)","auth","P0","2026-06-22","2026-07-05"
"103","Sprint 1","Authentication & RBAC (2주)","로그인 API (`POST /api/auth/login`), JWT Access/Refresh Token","auth","P0","2026-06-22","2026-07-05"
"104","Sprint 1","Authentication & RBAC (2주)","토큰 갱신 API (`POST /api/auth/refresh`)","auth","P0","2026-06-22","2026-07-05"
"105","Sprint 1","Authentication & RBAC (2주)","/logout API, Refresh Token Redis 저장","auth","P1","2026-06-22","2026-07-05"
"106","Sprint 1","Authentication & RBAC (2주)","RBAC Authorization Filter (@PreAuthorize)","auth","P0","2026-06-22","2026-07-05"
"107","Sprint 1","Authentication & RBAC (2주)","FE 로그인/회원가입 페이지 백엔드 연동","frontend","P0","2026-06-22","2026-07-05"
"201","Sprint 2","Company & User Management (2주)","Company CRUD API (`/api/companies`)","admin","P0","2026-07-06","2026-07-19"
"202","Sprint 2","Company & User Management (2주)","User CRUD API (`/api/users`) — Role별 company 스코프","admin","P0","2026-07-06","2026-07-19"
"203","Sprint 2","Company & User Management (2주)","User 상태 관리 (ACTIVE / INACTIVE / DISABLED)","admin","P0","2026-07-06","2026-07-19"
"204","Sprint 2","Company & User Management (2주)","ADMIN vs COMPANY_ADMIN 권한 분리","admin","P0","2026-07-06","2026-07-19"
"205","Sprint 2","Company & User Management (2주)","FE CompaniesView 백엔드 연동","frontend","P0","2026-07-06","2026-07-19"
"206","Sprint 2","Company & User Management (2주)","FE UsersView 백엔드 연동","frontend","P0","2026-07-06","2026-07-19"
"301","Sprint 3","Project Management (2주)","Project CRUD API (`/api/projects`) — Soft Delete","project","P0","2026-07-20","2026-08-02"
"302","Sprint 3","Project Management (2주)","Project Manager 배정 API (`POST /api/projects/{id}/managers`)","project","P0","2026-07-20","2026-08-02"
"303","Sprint 3","Project Management (2주)","Project Support Manager 배정 API","project","P0","2026-07-20","2026-08-02"
"304","Sprint 3","Project Management (2주)","Project 상태 관리 (ACTIVE / COMPLETED / ON_HOLD / CANCELLED)","project","P1","2026-07-20","2026-08-02"
"305","Sprint 3","Project Management (2주)","Project 상세 조회 API (관리자/멤버 정보 포함)","project","P1","2026-07-20","2026-08-02"
"306","Sprint 3","Project Management (2주)","FE ProjectsView 백엔드 연동","frontend","P0","2026-07-20","2026-08-02"
"401","Sprint 4","Ticket Core (3주)","Ticket CRUD API (`/api/tickets`)","ticket","P0","2026-08-03","2026-08-23"
"402","Sprint 4","Ticket Core (3주)","Ticket 상태 전이 엔진 (REGISTERED → RECEIVED → PROCESSING → COMPLETED)","ticket","P0","2026-08-03","2026-08-23"
"403","Sprint 4","Ticket Core (3주)","Ticket 목록 API — 상태/유형/프로젝트/assignee 필터","ticket","P0","2026-08-03","2026-08-23"
"404","Sprint 4","Ticket Core (3주)","Ticket 상세 API (상태리본, Action 버튼, 이력 포함)","ticket","P0","2026-08-03","2026-08-23"
"405","Sprint 4","Ticket Core (3주)","Ticket Comment API (`/api/tickets/{id}/comments`)","ticket","P0","2026-08-03","2026-08-23"
"406","Sprint 4","Ticket Core (3주)","Ticket 이력 Audit Trail API (`/api/tickets/{id}/history`)","ticket","P0","2026-08-03","2026-08-23"
"407","Sprint 4","Ticket Core (3주)","Support Manager 배정 API (`PATCH /api/tickets/{id}/assign`)","ticket","P0","2026-08-03","2026-08-23"
"408","Sprint 4","Ticket Core (3주)","진행 상황 업데이트 API (`PATCH /api/tickets/{id}/progress`)","ticket","P1","2026-08-03","2026-08-23"
"409","Sprint 4","Ticket Core (3주)","완료 요청/승인/반려 API (`PATCH /api/tickets/{id}/complete`)","ticket","P0","2026-08-03","2026-08-23"
"410","Sprint 4","Ticket Core (3주)","지연(Delayed) 상태 관리 API","ticket","P1","2026-08-03","2026-08-23"
"411","Sprint 4","Ticket Core (3주)","FE TicketList 백엔드 연동","frontend","P0","2026-08-03","2026-08-23"
"412","Sprint 4","Ticket Core (3주)","FE TicketDetail 백엔드 연동 (상태리본, 액션버튼, 이력타임라인)","frontend","P0","2026-08-03","2026-08-23"
"501","Sprint 5","Real-time Chat & Notification (3주)","WebSocket config (STOMP over SockJS)","chat","P0","2026-08-24","2026-09-13"
"502","Sprint 5","Real-time Chat & Notification (3주)","Ticket 내 채팅 메시지 CRUD (`/ws/app/ticket-{id}`)","chat","P0","2026-08-24","2026-09-13"
"503","Sprint 5","Real-time Chat & Notification (3주)","채팅 메시지 WebSocket 브로드캐스팅 (RabbitMQ 연동)","chat","P0","2026-08-24","2026-09-13"
